Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,117.273438,122.480469,117.273438,122.480469,-2.190679,3804416
2000-01-04,132.278519,132.278519,125.000000,132.110931,-2.362930,12100608
2000-01-05,131.257813,131.257813,121.542191,121.542191,-2.173898,15264256
2000-01-06,119.531250,120.312500,111.819138,111.819138,-1.999992,9052800
2000-01-07,102.875000,102.875000,102.873825,102.873825,-1.839996,696832
2000-01-10,103.515625,110.937500,94.644142,107.031250,-1.914355,36716160
2000-01-11,109.296875,109.296875,98.469139,98.469139,-1.761214,31226496
2000-01-12,93.750000,104.218750,90.632813,101.570313,-1.816681,21319296
2000-01-13,101.171875,103.125000,93.444923,93.953514,-1.680447,12755456
2000-01-14,93.453125,96.195313,87.593750,94.382813,-1.688126,18301568
2000-01-17,101.171875,101.546875,91.804688,92.576172,-1.655812,14982912
2000-01-18,92.187500,96.078125,89.062500,95.625000,-1.710344,16369792
2000-01-19,96.085938,103.046875,96.085938,101.556641,-1.816437,22184448
2000-01-20,101.953125,105.453125,98.359375,98.690231,-1.765169,17599232
2000-01-21,98.085938,106.250000,97.398438,105.738281,-1.891229,23618688
2000-01-24,114.046875,114.196877,109.765625,111.718750,-1.998196,17801280
2000-01-25,111.718750,113.281250,107.971878,112.812500,-2.017758,11948480
2000-01-26,null,null,null,null,null,null
2000-01-27,112.500000,116.781250,112.500000,114.187500,-2.042351,12049344
2000-01-28,115.218750,118.750000,115.218750,117.968750,-2.109983,17169088
2000-01-31,115.609375,117.187500,110.953125,112.578125,-2.013566,6149312
2000-02-01,112.500000,115.381248,111.109375,115.093750,-2.058560,4218560
2000-02-02,115.390625,117.183594,113.906250,114.687500,-2.051295,5298048
2000-02-03,114.812500,116.984375,114.812500,116.406250,-2.082036,5561792
2000-02-04,116.796875,124.218750,116.796875,122.562500,-2.192147,17085504
2000-02-07,128.125000,132.367188,127.578125,132.367188,-2.367512,14592768
2000-02-08,140.625000,142.421875,136.703125,138.750000,-2.481675,12566528
2000-02-09,139.062500,142.187500,133.988281,135.609375,-2.425503,9785792
2000-02-10,135.921875,144.906250,135.921875,144.140625,-2.578091,13268480
2000-02-11,144.531250,155.671097,144.531250,155.671097,-2.784325,4043264
2000-02-14,168.124222,168.124222,168.124222,168.124222,-3.007061,2210880
2000-02-15,168.124222,168.124222,154.675003,155.937500,-2.789090,25090240
2000-02-16,154.687500,160.156250,147.656250,155.461716,-2.780580,7859520
2000-02-17,156.234375,165.625000,156.234375,160.417191,-2.869214,9680960
2000-02-18,162.812500,165.609375,152.734375,153.750000,-2.749964,10114624
2000-02-21,155.468750,165.625000,153.140625,160.546875,-2.871533,15096000
2000-02-22,162.328125,164.046875,155.937500,156.093750,-2.791885,8775744
2000-02-23,157.031250,159.062500,143.607025,143.607025,-2.568547,8409216
2000-02-24,144.187500,149.984375,139.921875,148.351563,-2.653407,7132992
2000-02-25,146.875000,146.875000,136.483597,136.499222,-2.441418,10261312
2000-02-28,135.937500,138.906250,125.579689,133.593750,-2.389451,10146432
2000-02-29,134.765625,144.280472,131.250000,136.009369,-2.432656,22618432
2000-03-01,137.500000,146.889847,137.500000,146.889847,-2.627264,5817920
2000-03-02,156.234375,158.640625,154.687500,158.640625,-2.837437,1049984
2000-03-03,170.312500,171.331253,170.312500,171.331253,-3.064422,1578560
2000-03-06,185.034378,185.037506,184.359375,185.037506,-3.309571,387840
2000-03-07,199.839844,199.839844,199.839844,199.839844,-3.574325,875520
2000-03-08,215.826569,215.826569,187.500000,193.568756,-3.462160,22985472
2000-03-09,196.859375,202.343750,182.031250,183.092194,-3.274777,7017344
2000-03-10,187.484375,197.739059,179.531250,182.812500,-3.269775,12865472
2000-03-13,187.468750,192.109375,168.188278,168.188278,-3.008207,7048640
2000-03-14,154.733597,158.906250,154.733597,154.733597,-2.767557,7966336
2000-03-15,142.359375,158.140625,142.355469,151.676559,-2.712879,11929536
2000-03-16,150.000000,150.000000,139.542969,139.542969,-2.495858,8458112
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,146.093750,150.706253,144.531250,150.706253,-2.695524,6228224
2000-03-22,156.234375,162.762497,155.484375,162.762497,-2.911161,3500416
2000-03-23,174.984375,175.782806,157.968750,159.531250,-2.853368,10186944
2000-03-24,158.609375,172.292969,151.562500,166.767975,-2.982804,11494016
2000-03-27,171.093750,173.046875,161.265625,163.150787,-2.918106,9547008
2000-03-28,161.718750,161.718750,151.742966,156.987503,-2.807870,8990912
2000-03-29,157.031250,164.843750,157.031250,161.610931,-2.890564,6596224
2000-03-30,158.610153,158.610153,148.682816,151.187500,-2.704132,5854784
2000-03-31,150.015625,150.015625,139.092972,139.092972,-2.487810,6547584
2000-04-03,132.015625,137.500000,127.965622,127.965622,-2.288786,7738816
2000-04-04,117.728905,117.728905,117.728905,117.728905,-2.105693,5910720
2000-04-05,117.728905,127.146873,108.625000,122.039063,-2.182784,27891328
2000-04-06,122.562500,131.801559,114.242966,131.801559,-2.357396,31067776
2000-04-07,142.345306,142.345306,142.345306,142.345306,-2.545980,597504
2000-04-10,153.732025,153.732025,153.732025,153.732025,-2.749642,856256
2000-04-11,159.375000,166.029694,155.156250,166.029694,-2.969598,21266048
2000-04-12,165.531250,165.546875,155.859375,157.306244,-2.813571,14239360
2000-04-13,155.492188,155.492188,144.721878,144.721878,-2.588488,5025664
2000-04-14,null,null,null,null,null,null
